Protein Group Accessions;Medium/Light
Q9BYW2;8.366
P56211;8.350
P56211;8.350
O43166;8.339
O43166;8.339
O43166;8.339
Q14669;8.325
Q9H0X9;8.303
Q6WKZ4;8.279
Q9H0X9;8.213
O60927;8.069
Q8NHU6;8.062
O14974;8.061
Q15052;8.040
P21333;8.009
P21333;8.009
Q9BYW2;8.002
P62753;7.935
P62753;7.935
P46013;7.932
P46013;7.932
Q96HC4;7.924
O60293;7.862
O60293;7.862
O60293;7.862
O60293;7.862
Q5THK1;7.846
Q5THK1;7.846
O14974;7.807
O14974;7.807
Q6WKZ4;7.745
Q9Y4G8;7.740
Q6ULP2;7.700
Q16891;7.699
Q9UJU6;7.659
Q09161;7.658
Q09161;7.658
Q09161;7.658
P49207;7.651
Q14669;7.636
O60927;7.625
O60293;7.623
O60293;7.623
O60293;7.623
Q14149;7.556
Q9NUQ8;7.547
P49207;7.541
P15056;7.534
O43166;7.534
P49207;7.531
Q6WKZ4;7.527
O14974;7.497
Q14669;7.378
Q14669;7.378
Q14669;7.378
O43166;7.337
Q15058;7.337
Q6WKZ4;7.291
O60927;7.272
Q14738;7.263
Q6WKZ4;7.215
Q14738;7.209
Q14738;7.209
Q14738;7.209
Q9Y4K4;7.201
Q8NI08;7.187
P62753;7.184
P49207;7.170
P56211;7.147
P56211;7.147
P56211;7.147
P56211;7.147
P56211;7.147
P56211;7.147
Q9NRH2;7.065
P04049;7.057
P04049;7.057
P49207;7.044
P62258;7.022
Q15058;7.015
Q13769;6.997
Q13769;6.997
Q86V48;6.932
Q86V48;6.932
P46013;6.929
Q9C086;6.919
O00115;6.917
Q5T5C0;6.857
P49207;6.784
Q6ULP2;6.771
P62753;6.763
Q13112;6.727
P56211;6.696
P56211;6.696
P56211;6.696
P56211;6.696
P56211;6.696
O43166;6.690
O43166;6.690
O43166;6.690
O43166;6.690
Q8IYW5;6.645
P56211;6.628
P56211;6.628
Q14149;6.588
Q09161;6.570
Q09161;6.570
Q9H307;6.532
Q13769;6.516
Q9Y4B4;6.512
Q6WKZ4;6.464
P46013;6.447
Q14669;6.438
Q14669;6.438
Q14149;6.398
Q6WKZ4;6.357
Q6WKZ4;6.357
Q5T200;6.269
Q5T200;6.269
Q13769;6.259
