Protein Group Accessions;Heavy/Light
O60293;5.964
O60293;5.964
O60293;5.964
O60293;5.964
Q13045;5.891
O75369;5.882
Q9HC35;5.869
Q96Q45;5.863
Q8NFC6;5.853
Q9BTC0;5.775
O60293;5.773
O60293;5.773
O60293;5.773
Q9BSG1;5.755
Q14980;5.741
Q14980;5.721
Q9H4E7;5.715
Q86V48;5.701
Q86V48;5.701
Q86V48;5.701
Q86V48;5.701
Q86V48;5.692
P62753;5.603
P07195;5.569
Q9UK76;5.568
P25205;5.545
P25205;5.545
P25205;5.545
P25205;5.545
Q9NRH2;5.521
Q9BTC0;5.517
P56211;5.467
P56211;5.467
P25205;5.447
P25205;5.447
O15511;5.446
Q8NFC6;5.435
Q8NFC6;5.435
Q96KR1;5.431
P62753;5.414
Q5T5C0;5.412
O75116;5.304
Q9BSG1;5.282
Q6WKZ4;5.237
Q5THK1;5.235
Q5THK1;5.235
Q9H4A3;5.230
Q9H4A3;5.230
Q96HC4;5.209
Q9BTC0;5.172
Q9BTC0;5.156
Q69YH5;5.150
Q92576;5.140
Q92576;5.140
Q5UIP0;5.124
Q8NG31;5.111
Q8NG31;5.111
Q8NG31;5.111
Q92576;5.100
Q92576;5.100
Q92576;5.100
O75116;5.089
O43166;5.063
Q8NG31;5.058
Q8NG31;5.058
Q8NG31;5.058
P56211;5.050
P56211;5.050
P56211;5.050
Q5T200;5.026
Q5T200;5.026
Q92576;5.022
Q92576;5.022
Q96KR1;4.979
Q96KR1;4.979
O43166;4.945
Q15154;4.923
P56211;4.918
Q9UGN5;4.890
Q9H0X9;4.866
O43166;4.863
O43166;4.863
O43166;4.863
Q9HDC5;4.847
Q9HDC5;4.847
Q14149;4.828
Q8NG31;4.820
Q8NG31;4.820
Q8NG31;4.820
Q6WKZ4;4.797
Q9Y4K4;4.789
P11717;4.747
Q9UGN5;4.678
Q69YH5;4.607
Q5THK1;4.586
Q9Y2K2;4.561
Q96KR1;4.559
Q96KR1;4.559
Q69YH5;4.531
P62906;4.526
Q96KR1;4.496
Q96KR1;4.496
Q96KR1;4.496
P42167;4.479
Q6WKZ4;4.473
Q96KR1;4.455
O75116;4.452
Q6NT76;4.443
Q96S55;4.432
P56211;4.421
P56211;4.421
Q9BYW2;4.416
Q14738;4.407
Q14738;4.407
Q14738;4.407
Q7Z5R6;4.389
Q14149;4.340
P49207;4.337
Q7Z4V5;4.330
Q7Z4V5;4.330
Q14155;4.312
Q96Q45;4.295
Q9BSG1;4.264
Q92845;4.258
Q96Q45;4.248
Q96Q45;4.248
Q7LDG7;4.226
Q9H4A3;4.213
Q9H4A3;4.213
Q9UKJ3;4.177
P49207;4.155
Q9H0X9;4.122
O43295;4.112
Q9BYW2;4.094
Q96KR1;4.073
Q5T200;4.067
Q5T200;4.067
Q15154;4.062
Q7LDG7;4.054
Q5T200;4.047
Q5T200;4.047
P56211;4.031
P56211;4.031
Q14149;4.003
Q7Z4V5;3.999
O75995;3.998
O43166;3.990
O43166;3.990
O43166;3.990
O43166;3.990
P49207;3.969
Q9Y4B4;3.962
P49207;3.917
Q7Z4V5;3.903
Q7Z4V5;3.903
Q6WKZ4;3.884
P46013;3.858
O75116;3.834
Q7Z628;3.820
Q8NFC6;3.819
Q7Z4V5;3.784
Q7Z4V5;3.784
O75116;3.766
Q14155;3.758
Q7Z4V5;3.747
Q7Z4V5;3.747
O75116;3.728
A6NC98;3.716
A6NC98;3.716
A6NC98;3.716
A6NC98;3.716
P49207;3.674
Q14738;3.672
P07195;3.666
Q7LDG7;3.665
A6NC98;3.626
Q9UKJ3;3.619
Q9UKJ3;3.613
Q9UKJ3;3.606
Q12912;3.597
Q93009;3.568
P11717;3.563
P11717;3.563
P11717;3.563
Q9Y6M9;3.560
Q14155;3.559
Q14738;3.555
Q14738;3.555
Q9Y6M9;3.545
P13807;3.543
Q9H4E7;3.542
Q9H4E7;3.542
Q9UJU6;3.529
Q9UJU6;3.529
Q7Z4V5;3.526
P49207;3.517
P46776;3.515
Q9BQF6;3.491
Q9BQF6;3.491
Q9BQF6;3.491
P56211;3.491
P56211;3.491
P56211;3.491
P56211;3.491
P56211;3.491
P56211;3.491
P11717;3.486
P11717;3.486
A6NC98;3.459
A6NC98;3.459
A6NC98;3.459
A6NC98;3.459
Q8NDI1;3.453
A6NC98;3.440
A6NC98;3.440
P11717;3.439
P11717;3.439
P11717;3.439
Q9UJU6;3.435
Q14493;3.381
Q14493;3.381
Q92598;3.366
Q92598;3.366
P08579|P09012;3.361
A2RRP1;3.341
A2RRP1;3.341
P46778;3.324
Q15154;3.320
Q14686;3.306
P15056;3.303
O43166;3.292
O43166;3.292
A6NC98;3.290
O43166;3.289
O43166;3.289
O43166;3.289
O43166;3.289
O43166;3.289
P11717;3.281
Q9UKJ3;3.280
Q6WKZ4;3.273
P46013;3.258
P46013;3.258
Q14493;3.238
Q14493;3.238
P56211;3.238
P56211;3.238
P56211;3.238
P56211;3.238
P56211;3.238
Q13535;3.219
Q9UGN5;3.205
Q9UKJ3;3.204
Q6WKZ4;3.186
Q6WKZ4;3.186
Q14493;3.184
Q14493;3.184
Q14493;3.184
P11717;3.173
P11717;3.173
P11717;3.173
P67809|P16989|Q9Y2T7;3.168
P67809|P16989|Q9Y2T7;3.168
Q6WKZ4;3.165
Q96S55;3.159
Q96S55;3.159
Q9UKJ3;3.131
O75152;3.126
O75152;3.126
