Uniprot;EGF+I/Ctrl
Q9Y3B9|A0JLN3|A8K201;1.2
Q9Y385|A8K3F9|Q53F25;0.8
Q9Y385|A8K3F9|Q53F25;0.8
Q9Y383-1|Q9Y383|Q75M91|Q9Y383-2;0.8
Q9Y383-1|Q9Y383|Q75M91|Q9Y383-2;0.9
Q9Y383-1|Q9Y383|Q75M91;1.9
Q9Y2Z0-1|Q9Y2Z0|A2A303|A8K5T7|Q9Y2Z0-2|A8K7W3|Q5TAM6|Q9P1S2;2.8
Q9Y2Z0-1|Q9Y2Z0|A2A303|A8K5T7|Q9Y2Z0-2|A8K7W3|Q5TAM6|Q9P1S2;3.0
Q9Y2X3;0.4
Q9Y2X3;0.4
Q9Y2W2;0.8
Q9Y2W2;0.8
Q9Y2W2;1.0
Q9Y2W2;1.3
Q9Y2W1|Q05D20|Q6P0P7|Q6PJV4|Q7Z5U1;0.5
Q9Y2W1|Q05D20|Q6P0P7|Q6PJV4|Q7Z5U1;0.6
Q9Y2W1|Q05D20|Q6P0P7|Q6PJV4|Q7Z5U1;0.6
Q9Y2W1|Q05D20|Q6P0P7|Q6PJV4|Q7Z5U1;0.7
Q9Y2W1|Q05D20|Q6P0P7|Q6PJV4|Q7Z5U1;0.7
Q9Y2W1|Q05D20|Q6P0P7|Q6PJV4|Q7Z5U1;0.8
Q9Y2W1|Q05D20|Q6P0P7|Q6PJV4|Q7Z5U1;0.8
Q9Y2W1|Q05D20|Q6P0P7|Q6PJV4|Q7Z5U1;0.8
Q9Y2W1|Q05D20|Q6P0P7|Q6PJV4|Q7Z5U1;0.9
Q9Y2W1|Q05D20|Q6P0P7|Q6PJV4|Q7Z5U1;0.9
Q9Y2W1|Q05D20|Q6P0P7|Q6PJV4|Q7Z5U1;0.9
Q9Y2W1|Q05D20|Q6P0P7|Q6PJV4|Q7Z5U1;0.9
Q9Y2W1|Q05D20|Q6P0P7|Q6PJV4|Q7Z5U1;0.9
Q9Y2W1|Q05D20|Q6P0P7|Q6PJV4|Q7Z5U1;0.9
Q9Y2W1|Q05D20|Q6P0P7|Q6PJV4|Q7Z5U1;1.0
Q9Y2W1|Q05D20|Q6P0P7|Q6PJV4|Q7Z5U1;1.0
Q9Y2W1|Q05D20|Q6P0P7|Q6PJV4|Q7Z5U1;1.1
Q9Y2W1|Q05D20|Q6P0P7|Q6PJV4|Q7Z5U1;1.1
Q9Y2W1|Q05D20|Q6P0P7|Q6PJV4|Q7Z5U1;1.1
Q9Y2W1|Q05D20|Q6P0P7|Q6PJV4|Q7Z5U1;1.1
Q9Y2W1|Q05D20|Q6P0P7|Q6PJV4|Q7Z5U1;1.2
Q9Y2W1|Q05D20|Q6P0P7|Q6PJV4|Q7Z5U1;1.2
Q9Y2W1|Q05D20|Q6P0P7|Q6PJV4|Q7Z5U1;1.2
Q9Y2W1|Q05D20|Q6P0P7|Q6PJV4|Q7Z5U1;1.2
Q9Y2W1|Q05D20|Q6P0P7|Q6PJV4|Q7Z5U1;1.2
Q9Y2W1|Q05D20|Q6P0P7|Q6PJV4|Q7Z5U1;1.4
Q9Y2W1|Q05D20|Q6P0P7|Q6PJV4|Q7Z5U1;1.5
Q9Y2W1|Q05D20|Q6P0P7|Q6PJV4|Q7Z5U1;1.6
Q9Y2V2;0.3
