uniprot ID;15min
Q8iwz8;2.31
Q9ukv0;2.31
P35658;2.32
P35658;2.32
P18615;2.34
P45973;2.34
Q7z417;2.34
Q9uju6;2.34
P41212;2.37
P41212;2.37
P41212;2.37
Q92974;2.37
Q9nxe8;2.37
O43149;2.37
O43149;2.37
P20963;2.38
P54105;2.40
Q9y6g9;2.41
O60271;2.43
O60271;2.43
Q13263;2.43
Q8iy81;2.43
Q14675;2.43
Q14675;2.43
Q9ugu0;2.46
Q9ugu0;2.46
Q8iv50;2.47
O60784;2.49
O60784;2.49
P19338;2.49
P19338;2.49
P19338;2.49
P46013;2.49
Q14160;2.49
Q8tev9;2.49
Q9byb0;2.49
Q9byb0;2.49
P05412;2.52
P06493;2.52
P78559;2.55
Q14247;2.55
Q9h063;2.55
Q9uq35;2.55
Q9y580;2.55
P32519;2.57
P78559;2.59
P78559;2.59
Q6fia0;2.59
Q9ulw0;2.59
Q01196;2.60
P20963;2.61
P78347;2.62
Q13263;2.62
Q8wxe0;2.62
Q04637;2.66
Q92608;2.66
Q99704;2.67
P06748;2.69
P54727;2.69
Q5jsh3;2.69
Q9h3x1;2.69
Q9y490;2.69
P29353;2.72
P16150;2.77
P78362;2.77
Q03252;2.77
Q03252;2.77
Q14186;2.77
Q9ukv3;2.77
P06241;2.78
P32942;2.81
Q13496;2.81
Q13496;2.81
Q32ly9;2.81
P30622;2.85
Q15758;2.85
P11717;2.85
Q13330;2.85
P46060;2.90
P46060;2.90
Q6y7w6;2.94
P51957;3.03
P57740;3.03
Q01581;3.03
Q14966;3.03
Q9ugr2;3.03
Q9ugr2;3.03
Q07352;3.08
Q9nry4;3.08
Q6pkg0;3.13
Q96rk0;3.13
Q9nti5;3.13
Q9ubc2;3.13
Q9ubc2;3.13
Q9ulu4;3.13
Q9nwq8;3.16
Q13153;3.18
Q13153;3.18
P07910;3.18
Q5vt52;3.18
O14974;3.23
P17544;3.23
Q14160;3.23
Q14241;3.23
Q92917;3.23
Q9h5v1;3.23
Q9h5v1;3.23
Q9y4e8;3.23
Q9y4e8;3.23
Q6p3s6;3.29
Q6p3s6;3.29
Q7z434;3.29
Q92597;3.29
Q92769;3.29
P27708;3.29
P20963;3.29
Q8iww6;3.32
P43243;3.34
Q7l3e0;3.34
Q92576;3.34
Q9ugv2;3.34
Q9ugv2;3.34
P04234;3.39
P06239;3.40
Q04759;3.40
Q16204;3.40
O15117;3.41
P16401;3.46
Q8wxi9;3.46
Q8wxi9;3.46
Q8wxi9;3.46
Q99081;3.46
Q9h165;3.46
Q9h165;3.46
Q9y4e1;3.46
O95218;3.53
P06400;3.53
P06400;3.53
P11717;3.53
O75995;3.55
P20963;3.57
P42768;3.59
O15027;3.59
O75081;3.59
Q00613;3.59
Q15166;3.59
Q15166;3.59
Q5vwq8;3.59
Q9haw4;3.59
Q9um11;3.59
Q96al1;3.66
Q16594;3.73
Q16594;3.73
Q9c0k0;3.73
Q9ugp4;3.73
O14646;3.80
Q9nwq8;3.86
Q8iws0;3.88
Q8iws0;3.88
Q8iws0;3.88
P07766;3.99
Q08881;3.99
P06400;4.04
P06400;4.04
P49790;4.04
P49790;4.04
P51532;4.04
Q6iq23;4.04
Q92974;4.04
Q9ui08;4.04
O75995;4.13
P68363;4.13
Q15154;4.13
Q8wwi1;4.13
Q8wwi1;4.13
P07766;4.16
P43403;4.22
P49006;4.22
Q96nb3;4.22
P52948;4.31
P52948;4.31
O95544;4.41
P11717;4.41
Q5jsz5;4.41
Q86wb0;4.41
Q9bvj6;4.41
Q9uhi6;4.41
Q9y6g9;4.41
Q9y6g9;4.41
O75995;4.62
O75995;4.62
Q53hl2;4.62
O75122;4.62
Q96p48;4.62
Q96p48;4.62
Q9y3p8;4.66
P49790;4.82
P35580;4.85
P78559;4.85
Q5sw79;4.85
Q5sw79;4.85
P49790;4.97
Q86wk8;4.97
P55196;5.11
Q00537;5.11
Q9y2d5;5.11
P55265;5.24
P24534;5.39
Q9y4k1;5.39
Q1ksf8;6.06
Q9nul3;6.06
Q9y618;6.06
Q6jby9;6.26
Q6jby9;6.26
P16949;6.47
P28482;6.69
P08575;6.93
P31942;7.46
O14757;7.76
O75995;7.76
O75995;7.76
Q9nzm3;8.05
P16333;8.08
P60174;8.08
Q8n8a6;8.08
Q8nc51;8.08
Q8tbm5;8.82
Q9ukx7;9.24
P06400;9.70
Q8ncf5;10.78
P27361;12.13
P27361;12.13
Q12872;12.13
P13796;13.86
P28482;16.93
P16949;27.71
