uniprot ID;5min
O95297;0.41
P06239;0.48
P42768;1.13
P06239;1.86
Q6ibs0;1.88
Q13813;1.96
Q9bqe3;1.97
Q7z6j2;2.01
Q9nwq8;2.05
Q99704;2.06
P19174;2.11
Q9nwq8;2.19
Q9y2x7;2.24
Q8iww6;2.25
P68363;2.25
Q13748;2.26
P19174;2.33
P04234;2.45
P06493;2.52
P43403;2.58
P20963;2.61
P06493;2.93
P20963;2.98
P29353;3.01
P09693;3.01
P20963;3.29
P20963;3.39
P16284;3.44
P20963;3.49
O15117;3.60
P06241;3.62
Q06124;3.90
Q9y3p8;3.92
Q08881;4.01
P04234;4.36
P20963;4.72
Q9nwq8;4.88
P07766;4.93
P28482;6.48
Q9nzm3;6.58
P27361;6.61
P07766;8.34
P28482;10.66
P27361;11.86
