uniprot,diff
Q96T62,0.525584853333333
P35250,-0.036325771
P17066,0.016715526
Q06710,0.127698263333333
P43080,0.0261914743333333
P41226,0.0692432733333333
P20393,0.074220658
Q16825,0.191545964
P13501,0.0602695143333333
Q16868,0.366520882
Q7Z740,0.176744620333333
AAH63795,0.11225312
P11509,0.052301566
BAC86580,0.107935906
AAH64803,0.0395755753333333
AAP35580,0.106624761
Q86TX8,-0.220458823333333
Q13393,0.095194975
NA,0.202208202
Q92934,0.0251792266666667
Q9BW78,0.194551129
P04632,-0.11632951
Q96QJ7,0.221701936666667
P46779,-0.0151329056666667
P78344,-0.08024057
O15371,0.407848356333333
Q99497,-0.141491251666667
P37108,-0.154403855666667
AAP35514,0.148445128
P50395,0.184980075333333
P39026,0.000710169666666663
AAP35316,-0.00930341166666667
AAH57822,0.004271825
Q7Z304,0.0810283
AAH66932,-0.0859505336666667
Q9P2B4,-0.051517803
Q9BSM5,-0.0860900896666667
P14798,0.00294208666666666
Q02546,0.0219813756666667
Q05472,0.174703916666667
Q9H256,0.108596485666667
P23528,-0.0603068666666667
Q07020,0.02943929
AAP35540,-0.0626004536666667
P46782,-0.0954980846666667
P61353,0.18585841
P49207,0.150012970666667
O43776,-0.337283136666667
Q9NQZ5,-0.152611095333333
Q8IWR8,0.005068461
Q7Z7N7,-0.160504342333333
P04643,-0.00146420866666667
P32969,0.00724252066666667
Q7Z2V5,-0.114202815333333
Q9HBB3,0.021711985
NA,0.138362651333333
Q8J013,-0.024093309
Q13185,-0.107142131666667
P18621,-0.153660139333333
AAP35801,-0.0191453303333333
AAH10132,-0.063226384
Q13838,-0.0229997633333333
Q9P0J3,0.321135201666667
AAP35523,-0.0376688646666667
Q13242,-0.195012728333333
Q8NE71,0.385907174
P46966,-0.0206626273333333
P25490,-0.0137939453333333
Q9P0Q4,-0.169978776
O95251,0.196409542666667
Q15072,-0.153238589666667
O43290,0.431463243333333
Q9BWD4,-0.021504402
Q96EU5,-0.0821949636666667
O75312,0.231001855666667
Q12962,-0.0370464316666667
Q13901,-0.138364789666667
Q9BQC5,-0.053669105
Q9H8B9,-0.166510900666667
P61586,-0.0209693906666667
Q9NYG3,0.399518966333333
Q7Z3D1,0.140613557
P04645,0.181858695666667
Q9BYG9,-0.0144262313333333
Q9NTK6,0.192544618666667
AAP36057,-0.0992711383333333
Q9Y3Z5,-0.00712267566666667
Q96AP9,0.204442977666667
Q16094,0.0822664903333333
Q96J95,-0.0429534933333333
Q9H4N0,0.0558277773333333
O75940,0.325969378
Q8WZ44,-0.118100484333333
Q14103,-0.0497111496666667
P50914,-0.168751082333333
Q16774,-0.0185302096666667
Q9BQD3,-0.078443209
P54368,-0.0480607336666667
AAP35815,0.135312717666667
Q9HB23,0.337594345666667
AAH38989,-0.113814036333333
NA,0.06236744
P23821,0.00208505
Q96IW5,0.00642522233333333
O00193,-0.0632613503333333
Q15370,0.380061465666667
AAH62437,0.138916653666667
Q15363,0.00334580766666667
AAH59950,0.061700184
AAH66925,-0.0826568613333333
P49354,0.223899844
P25111,0.0696783076666667
P02403,0.394234659333333
P49773,-0.130088487
AAH06547,-0.00862566700000001
P46783,0.114630062
O15342,0.0321022666666667
Q07244,-0.376848855333333
Q9UJX4,0.0158402126666667
AAH66926,0.00806617733333333
Q9BQ09,-0.161584218
Q9BQ09,-0.210597348
Q14152,0.201443990666667
AAH64926,0.31554318
Q96C72,0.0770368566666667
Q96GW1,-0.37657864
AAH66656,-0.237824123333333
AAH11827,-0.108091354333333
Q96BG6,-0.182775813666667
Q8WZ99,0.343334518333333
P10644,-0.105539957333333
P10644,0.103855133
P10644,-0.0670302723333333
BAC85309,0.437057501333333
O60216,-0.14570872
O60216,-0.163982071666667
Q9UG05,0.133553821333333
Q9BQ02,-0.0579414386666667
Q8N6E5,0.175526303333333
Q7Z451,0.0329157513333334
Q96CW1,-0.068571408
Q9H3B0,0.0972601566666667
Q96J19,0.0712804796666667
Q14165,0.16364479
Q14165,0.174991291333333
Q96IG0,0.303655622333333
AAH00401,0.168996497666667
Q96KX7,-0.0406195323333333
P21291,0.046707153
Q9BRL5,-0.38951111
AAP35501,-0.412306788666667
P43243,-0.084187826
Q01518,0.151786805
Q9H4N1,-0.0907135003333333
Q15185,0.0236717856666667
P23381,-0.198833783666667
P23381,-0.272333778666667
Q01105,0.091567673
Q01105,-0.0576985676666667
Q8N959,0.848081273333333
Q9BWD6,0.0693264016666667
P07737,-0.0633815133333333
Q7Z3X4,-0.130413055
Q7Z3X4,0.00909010633333333
P10586,-0.05719757
P29312,0.133111636666667
P29312,0.151816047333333
P29312,0.141522090333333
Q86V33,0.117952346666667
P00441,-0.0411430993333333
Q00341,-0.207806272333333
P49006,-0.213987033333333
Q8IZK0,0.0432033533333333
Q96BA4,-0.186508492
Q9BW98,0.149921416666667
Q8IZ17,-0.196223575666667
Q96BA4,-0.272528963333333
P00338,-0.168910023666667
P25388,-0.0376653666666667
CAE46211,-0.166419031333333
Q96HY3,-0.182253837333333
P07237,-0.0956846853333334
Q96HY3,-0.154768943333333
Q96C96,-0.196798323333333
Q8NAU4,-0.122314134333333
Q9BSE8,0.014025688
P35232,0.180124918
P31949,0.0391750296666667
P10619,0.219477018333333
Q15388,-0.096262297
AAP35736,-0.116845447666667
P25685,0.0246181516666667
AAS50152,-0.380990024666667
P25685,0.0248168323333333
Q9P1E9,-0.0860983536666667
Q9P1E9,0.032587685
Q9P1E9,-0.025780678
P17861,-0.385673523333333
Q9NPT6,-0.0747332563333333
Q9NPT6,-0.133390584333333
AAQ89387,-0.143691064666667
P02433,0.0916001003333333
P60033,-0.203920683666667
P51966,-0.22488117
P53801,0.127975149333333
P28799,0.0315475476666667
AAH66889,-0.180150987
Q14321,-0.084185919
Q04760,0.306015014666667
P51966,0.230476059
P51966,0.0653133383333333
P51966,-0.063010535
Q8NI74,-0.128123285
Q05519,0.0561958936666667
Q9BPY2,0.33490944
Q96GC0,-0.0676420546666667
P26641,0.0238946283333333
Q8N1C8,0.0313272493333333
Q8N1C8,-0.0522174836666667
Q8N1C8,-0.0837961823333333
Q9UP48,-0.063649814
Q7Z4X3,0.0599130016666667
Q96DH3,-0.041187287
Q9NRJ2,0.110252698
P19367,0.305833177333333
P33947,-0.115554173
P33947,-0.093637467
P33947,-0.054646174
Q15668,-0.274358751666667
Q7Z4W0,0.04448986
Q15701,-0.007131892
Q99732,0.342014312
P24534,-0.128889719666667
Q9C0L6,0.326416334
Q96BU9,-0.194257736
P00505,0.248131432
